Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2013-09-30,2.3994,0.4574,0.8593,19.9911,7.811,7.811,6.5983,4.8061,0.2673,1.3391,1.7127,52.5475,2.898,11.2647,1.1656,1.5724,3.2154,0.4957,0.3453
2013-06-30,2.5213,0.4766,0.9153,19.4125,100.0,,6.2062,4.086,0.3129,1.5613,1.8925,47.5569,,,,,3.0344,0.1774,0.1356
2013-03-31,2.5968,0.4861,0.9511,19.2669,7.3386,7.3386,5.6892,3.9283,0.2915,1.4516,1.7684,50.8948,3.0223,12.4968,1.1451,1.5532,3.1113,0.0158,-0.0348
2012-12-31,,,,,,,,,,,,,,,,,,-0.5477,-0.3808
2012-09-30,2.2769,0.4802,0.9279,19.1878,6.9809,6.9809,5.7618,3.6496,0.3011,1.5923,1.8732,48.0471,2.9303,12.5997,1.1083,1.5231,3.0734,0.5477,0.3808
2012-06-30,2.3194,0.4959,0.9935,17.7725,100.0,,5.0659,3.1843,0.3056,1.6719,1.8665,48.2189,,,,,2.9958,0.1784,0.1163
2012-03-31,2.3702,0.4855,0.9532,17.7039,6.7826,6.7826,5.2039,3.3338,0.2971,1.5762,1.8584,48.4286,2.6749,11.8941,1.002,1.3762,3.1286,0.0923,0.0499
2011-12-31,,,,,,,,,,,,,,,,,,-0.4732,-0.306
2011-09-30,2.3987,0.4861,0.9551,16.474,7.6736,7.6736,6.4217,4.0577,0.3126,1.6555,1.9344,46.5256,3.3403,12.4117,1.2937,1.7165,3.2052,0.4732,0.306
2011-06-30,2.405,0.4295,0.7644,17.3697,100.0,,6.3932,3.9045,0.3043,1.5292,1.7975,50.0692,,,,,3.6533,0.1673,0.1044
2011-03-31,2.4686,0.4226,0.7335,17.3549,7.7884,7.7884,6.2741,3.8093,0.3003,1.515,1.8594,48.4033,2.726,7.3453,1.1972,1.5741,3.5758,-0.0152,-0.0649
2010-12-31,,,,,,,,,,,,,,,,,,-0.4576,-0.344
2010-09-30,2.2455,0.4183,0.7211,18.7166,9.2146,9.2146,7.6797,4.6623,0.2991,1.6026,1.9373,46.4558,3.3268,8.8432,1.4699,1.9353,3.4648,0.4576,0.344
2010-06-30,2.1818,0.444,0.8063,18.4195,100.0,,7.3307,4.6109,0.2936,1.6773,1.9679,45.7338,3.2589,9.1644,1.3779,1.812,3.2868,0.2253,0.1875
2010-03-31,2.1538,0.4543,0.8462,18.1889,6.3415,6.3415,4.8638,2.9555,0.2352,1.3752,1.4988,60.0497,1.7522,4.8906,0.7319,0.9562,3.2625,0.0058,-0.0254
2009-12-31,,,,,,,,,,,,,,,,,,-0.7329,-0.6368
2009-09-30,3.8109,0.4156,0.7261,20.0367,7.6155,7.6155,6.6675,3.8652,0.2241,1.6818,1.9115,47.0847,2.1196,3.5473,0.9584,1.2387,3.2863,0.7329,0.6368
2009-06-30,2.0855,0.2672,0.3861,,100.0,,9.0604,5.4195,0.2955,1.6637,1.9087,47.1533,3.2411,6.0357,1.6953,2.375,3.0086,0.2328,0.1879
2009-03-31,2.2159,0.2961,0.4442,19.4491,7.5795,7.5795,6.9538,4.2125,0.3037,1.6851,2.0201,44.5521,2.687,5.2273,1.345,1.8913,2.7289,0.2909,0.2478
